BOLOGNA C.LE,S.PIETRO IN CASALE,VENEZIA MESTRE
3.0,2.0,0.5
3.0,1.5,0.5
2.0,1.0,5.5
2.0,2.0,1.5
1.5,1.0,1.0
2.0,1.0,1.5
1.5,0.5,1.0
1.5,0.5,1.0
2.0,1.5,11.0
1.5,0.5,2.0
2.0,0.5,1.0
2.5,0.5,3.0
2.5,0.5,1.0
1.5,0.5,3.0
3.5,2.5,0.5
2.0,0.5,1.5
2.0,0.5,1.5
1.5,0.5,1.0
1.5,0.5,4.5
2.0,0.5,4.5
2.5,0.5,3.5
2.0,2.0,1.0
2.0,0.5,6.0
1.5,1.5,10.5
2.0,0.5,2.0
1.5,1.5,1.5
1.5,1.0,4.5
2.0,0.5,0.5
1.5,1.5,1.0
2.0,0.5,3.5
2.0,1.5,1.0
1.5,0.5,4.0
1.5,1.0,4.5
3.5,2.0,1.5
2.5,1.0,2.5
2.5,1.0,9.5
2.5,0.5,3.5
2.0,1.0,2.0
2.0,1.5,0.5
2.0,0.5,2.0
2.0,1.5,0.5
1.5,2.0,0.5
2.0,1.0,7.0
1.5,1.0,4.5
1.5,1.0,2.0
1.5,1.0,1.0
1.5,1.0,4.0
1.5,0.5,1.0
2.0,1.5,1.5
2.5,1.5,2.0
2.0,1.0,3.0
2.0,1.0,0.5
4.5,2.5,1.0
3.0,0.5,3.0
2.0,1.0,2.5
1.5,0.5,0.5
2.5,0.5,1.5
2.5,1.0,2.0
2.5,0.5,0.5
1.5,0.5,1.0
